no,venue_name,venue_lat,venue_lng,venue_address,venue_city,venue_checkinsCount,url,Category
202,The Bean,40.73317756,-73.99116039,824 Broadway,New York,13996,http://thebeannyc.com,Food & Cafe
203,"South Ferry, Manhattan Bike Path and Greenway",40.70232577,-74.0134871,State Street,New York,769,NA,Entertainment & Others
204,NewsCred,40.74297857,-73.98496284,386 Park Ave S,New York,1743,NA,Office
205,Central Perk,40.72106908,-73.99816096,199 Lafayette St,New York,1560,http://www.mtv.com/news/1914050/friends-central-perk-new-york/,Food & Cafe
206,VU Bar NYC,40.74784549,-73.98662717,17 W 32nd St (rooftop),New York,5344,http://vunyc.com,Bar
207,5th Ave Sunset Park,40.64228493,-74.01317412,NA,NA,335,NA,Entertainment & Others
208,New World Mall Food & Cafe Court,40.75943449,-73.82905126,136-20 Roosevelt Ave.,Flushing,3797,NA,Food & Cafe
209,Dyker Heights Christmas Lights,40.61753374,-74.01493575,NA,Brooklyn,1539,NA,Entertainment & Others
210,ABC Cafeteria,40.77305283,-73.98030265,"77 W 66th St, New York, NY 10023",New York,751,NA,Food & Cafe
211,Chihuly Garden and Glass,47.62054875,-122.3504555,305 Harrison St,Seattle,9183,http://www.chihulygardenandglass.com,Entertainment & Others
212,Jin Ramen,40.81535397,-73.95856123,3183 Broadway,New York,6564,http://www.jinramen.com,Food & Cafe
213,AlleyNYC,40.75335652,-73.99009352,500 Fashion Ave,New York,7730,http://www.thealleynyc.com,Office
214,Zoob Zib Thai Noodle Bar,40.75443043,-73.99562003,462 9th Ave,New York,2649,NA,Food & Cafe
215,Bitly HQ,40.7373643,-73.99246931,85 5th Ave,New York,2540,NA,Office
216,Toshi's Living Room,40.74391369,-73.98917529,1141 Broadway,New York,4847,http://www.toshislivingroom.com/t/index.php,Bar
217,Amherst Farm Winery,42.35880727,-72.48590191,529 Belchertown Rd,Amherst,147,NA,Entertainment & Others
218,Ootoya,40.73887551,-73.99280228,8 W 18th St,New York,10090,http://ootoya.us,Food & Cafe
219,Jum Mum,40.72941149,-73.9895598,5 Saint Marks Pl,New York,2654,http://jummumnyc.com,Food & Cafe
220,Biang!,40.75803025,-73.82934246,41-10 Main St,Flushing,3437,http://www.biang-nyc.com,Food & Cafe
221,Lura,40.79957515,-73.96261928,949 Columbus Ave,New York,1161,http://lurany.com,Food & Cafe
222,Saiguette,40.79911109,-73.96284313,935 Columbus Ave,New York,974,http://saiguette.com,Food & Cafe
223,Cornell Tech,40.74090046,-74.00221109,111 8th Ave,New York,1331,http://tech.cornell.edu,Office
224,The Penrose,40.77543984,-73.95330917,1590 2nd Ave,New York,15222,http://penrosebar.com,Food & Cafe
225,La Vie En Szechuan,40.74738113,-73.98458406,14 E 33rd St,New York,1594,http://lavieenszechuan.com,Food & Cafe
226,Gregory's Coffee,40.74787108,-73.9892212,874 Avenue of the Americas,New York,11051,http://gregoryscoffee.com,Food & Cafe
227,Central Park West- W 72 St,40.77615542,-73.97583174,Central Park West & W 72 St,New York,4047,NA,Entertainment & Others
228,Come Buy,40.74479384,-73.98727568,251 5th Ave,New York,3924,http://comebuy2002.com.tw,Food & Cafe
229,The Flatiron School,40.70516434,-74.01398063,11 Broadway Rm 260,New York,2644,http://www.flatironschool.com,Office
230,UR CUP,40.73015147,-73.99368032,293 Mercer St,New York,1645,http://urcupny.com,Food & Cafe
231,Riverside Park At 120th,40.81115572,-73.96415753,NA,New York,218,NA,Entertainment & Others
232,Legend Upper West,40.80330342,-73.96679203,"258 West 109 ST, NY 10025",New York,500,http://legendupperwest.com,Food & Cafe
233,brasserie magritte,40.77665006,-73.95555925,1463 3rd Ave,New York,1038,http://www.brasseriemagritte.com,Food & Cafe
